Reading airport file...
Reading routes file...
Computing pagerank...
SOLUTION FOUND
With: 
 -Dumping factor =  0.8
 -Convergence condition : difference less than  0.0001
-------------------------------------------------------------------
-----------------------(Page rank, Airport)------------------------
(0.000550881749076578 : Norman Y Mineta San Jose Intl, United States)

(0.0005504889007752994 : Split, Croatia)

(0.0005478857125406662 : Langnes, Norway)

(0.0005460114246360092 : Heydar Aliyev, Azerbaijan)

(0.0005448179577144934 : Meilan, China)

(0.0005427184887965194 : Santo Pekoa International Airport, Vanuatu)

(0.0005418372522684832 : Beograd, Serbia)

(0.0005397533688535048 : Valencia, Spain)

(0.0005384962953438189 : Inuvik Mike Zubko, Canada)

(0.0005363533928490111 : Cincinnati Northern Kentucky Intl, United States)

(0.0005354650316352863 : Bologna, Italy)

(0.0005346677303139141 : Phoenix International, China)

(0.0005340380825101254 : Hannover, Germany)

(0.0005326980261268408 : Liangjiang, China)

(0.000529734494387156 : Abidjan Felix Houphouet Boigny Intl, Cote d'Ivoire)

(0.0005295787240200084 : Changbei Intl, China)

(0.0005295670498744697 : Douala, Cameroon)

(0.0005292282870416218 : Penang Intl, Malaysia)

(0.0005278373691084363 : Townsville, Australia)

(0.0005266703750433476 : Schonefeld, Germany)

(0.0005265038124415271 : Emelyanovo, Russia)

(0.0005250492875613236 : Punta Cana Intl, Dominican Republic)

(0.0005250000418313566 : General Mitchell Intl, United States)

(0.0005242669466424892 : Vaernes, Norway)

(0.0005241942246577632 : Dubrovnik, Croatia)

(0.0005239246134229336 : Alfonso Bonilla Aragon Intl, Colombia)

(0.000523805796508301 : Kos, Greece)

(0.0005232615445148719 : Sacramento Intl, United States)

(0.0005231095075990532 : Lanzhou Airport, China)

(0.000522942732680556 : Sanaa Intl, Yemen)

(0.0005228631844676368 : Unalaska, United States)

(0.0005210495507591483 : Macau Intl, Macau)

(0.000519094274347866 : Tobias Bolanos International Airport, Costa Rica)

(0.0005183844075728947 : Nuuk, Greenland)

(0.0005179514061129643 : Pittsburgh Intl, United States)

(0.0005175551127084802 : Phoenix-Mesa Gateway, United States)

(0.0005167754021827595 : Sir Seewoosagur Ramgoolam Intl, Mauritius)

(0.0005156659088919351 : Nantes Atlantique, France)

(0.0005151175361756491 : Fuerteventura, Spain)

(0.000512531757977851 : Novy, Russia)

(0.0005112354154847901 : Leeds Bradford, United Kingdom)

(0.0005093800907575418 : Capodichino, Italy)

(0.0005067569986191674 : Pinto Martins Intl, Brazil)

(0.0005064780592520719 : Viru Viru Intl, Bolivia)

(0.0005062981734393513 : Olbia Costa Smeralda, Italy)

(0.0005034565408490288 : Bodo, Norway)

(0.0005004378888595245 : Cochin, India)

(0.0004991544539952716 : Adnan Menderes, Turkey)

(0.0004983241353806331 : Kuujjuaq, Canada)

(0.00049104099533572 : Albuquerque International Sunport, United States)

(0.000491016844565031 : General Abelardo L Rodriguez Intl, Mexico)

(0.000488522813724013 : Indianapolis Intl, United States)

(0.0004880978960530942 : Allama Iqbal Intl, Pakistan)

(0.00048648411102973036 : Hato, Netherlands Antilles)

(0.0004810135974388513 : Port Columbus Intl, United States)

(0.00048075437907543154 : Reina Beatrix Intl, Aruba)

(0.00047846606742546927 : Bilbao, Spain)

(0.00047608087616549826 : Luxembourg, Luxembourg)

(0.0004730318637812095 : Ilulissat, Greenland)

(0.00046928173998933955 : Southwest Florida Intl, United States)

(0.0004653500844151338 : Wenzhou Yongqiang Airport, China)

(0.0004650122457929694 : Minsk 2, Belarus)

(0.00046464309261672846 : Billings Logan International Airport, United States)

(0.0004639965309560629 : Lokpriya Gopinath Bordoloi International Airport, India)

(0.00046292097941705545 : Kirkwall, United Kingdom)

(0.0004621007096795519 : Menara, Morocco)

(0.00046119857469897993 : Yakutsk, Russia)

(0.00046093808396428934 : Chiang Mai Intl, Thailand)

(0.0004607035058093148 : Mwalimu Julius K Nyerere Intl, Tanzania)

(0.00045969437255710774 : Kuching Intl, Malaysia)

(0.000459637899573633 : Gimpo, South Korea)

(0.00045869178461472535 : Sentani, Indonesia)

(0.00045866382358102184 : Gold Coast, Australia)

(0.0004567259917942465 : Red Lake Airport, Canada)

(0.00045360571434812096 : Luogang, China)

(0.00045323255105532054 : Elmas, Italy)

(0.0004509610735326899 : Merignac, France)

(0.0004507366028052477 : Tallinn, Estonia)

(0.0004503567594571372 : Liverpool, United Kingdom)

(0.00044949213000400356 : Knevichi, Russia)

(0.0004457325217251012 : Esfahan Shahid Beheshti Intl, Iran)

(0.0004442863407616919 : Beijing Nanyuan Airport, China)

(0.00044386024321236233 : Male Intl, Maldives)

(0.00044189598691190087 : Palermo, Italy)

(0.0004410818141296603 : Olaya Herrera, Colombia)

(0.00043814174213941347 : Changchun, China)

(0.00043601905380863545 : Vityazevo, Russia)

(0.00043501033632832337 : Linate, Italy)

(0.00043445046343663717 : Zhuliany Intl, Ukraine)

(0.0004338608296853782 : Mount Isa, Australia)

(0.0004322811081360994 : Sofia, Bulgaria)

(0.00043121697216784135 : Dallas Love Fld, United States)

(0.00043087407045692207 : Guam Intl, Guam)

(0.000429822044067401 : Burgas, Bulgaria)

(0.0004295792211838479 : Kigali Intl, Rwanda)

(0.00042748916415153316 : Eindhoven, Netherlands)

(0.0004268137692312696 : Yinchuan, China)

(0.0004265270630636978 : John Wayne Arpt Orange Co, United States)

(0.00042407589899078334 : Los Cabos Intl, Mexico)

(0.00042390112748565026 : Hang Nadim, Indonesia)

(0.0004237849630028266 : Borg El Arab Intl, Egypt)

(0.00042235314430316456 : Imam Khomeini, Iran)

(0.000421466328394083 : Santa Genoveva, Brazil)

(0.000420854784744838 : Ahwaz, Iran)

(0.00042026759719199664 : Vilnius Intl, Lithuania)

(0.000420234402996191 : Pampulha Carlos Drummond De Andrade, Brazil)

(0.0004198502859903278 : Dalaman, Turkey)

(0.0004171339986923011 : Entebbe Intl, Uganda)

(0.00041687638934055665 : Shijiazhuang Daguocun International Airport, China)

(0.0004152001509832753 : Maputo, Mozambique)

(0.00041517284016626225 : Cadjehoun, Benin)

(0.0004149094017430715 : Myrtle Beach Intl, United States)

(0.0004147474107355539 : Lishe, China)

(0.00041220900263178744 : Harare Intl, Zimbabwe)

(0.0004120262405132721 : Las Americas Intl, Dominican Republic)

(0.00041029094851465614 : Sondre Stromfjord, Greenland)

(0.00040997097975769463 : Frankfurt Hahn, Germany)

(0.0004093511930727028 : Tille, France)

(0.00040803503435115805 : Edward G Pitka Sr, United States)

(0.0004056235815797064 : V C Bird Intl, Antigua and Barbuda)

(0.00040560431860335437 : Niederrhein, Germany)
