Reading airport file...
Reading routes file...
Computing pagerank...
SOLUTION FOUND
With: 
 -Dumping factor =  0.8
 -Convergence condition : difference less than  1e-08
-------------------------------------------------------------------
-----------------------(Page rank, Airport)------------------------
(0.0003927540815718375 : Irkutsk, Russia)

(0.00038870722582150024 : Campo Dell Oro, France)

(0.0003880066986373441 : Manas, Kyrgyzstan)

(0.0003873276998379051 : Dyce, United Kingdom)

(0.00038679375694320974 : Pafos Intl, Cyprus)

(0.00038596311107201255 : Zvartnots, Armenia)

(0.00038574267982035827 : Ouagadougou, Burkina Faso)

(0.0003853385995033047 : Ciampino, Italy)

(0.00038526104828745023 : Bandar Abbass Intl, Iran)

(0.000384723667781425 : Sevilla, Spain)

(0.00038175198669413427 : Providenciales, Turks and Caicos Islands)

(0.0003814286934324737 : Lijiang Airport, China)

(0.0003807805312371749 : Bari, Italy)

(0.00037918937937686005 : Sangster Intl, Jamaica)

(0.00037841632155715424 : Kodiak, United States)

(0.0003783934411974855 : Tokua Airport, Papua New Guinea)

(0.0003782769334616121 : Southampton, United Kingdom)

(0.0003776994183040938 : Munda Airport, Solomon Islands)

(0.00037666351353323423 : Narsarsuaq, Greenland)

(0.00037621299628596644 : Prince Mohammad Bin Abdulaziz, Saudi Arabia)

(0.00037534439266367876 : Santarem, Brazil)

(0.0003748495177601512 : La Aurora, Guatemala)

(0.0003747408476148531 : St Petersburg Clearwater Intl, United States)

(0.000373629448325126 : Sam Ratulangi, Indonesia)

(0.00037252997961744117 : Mount Hagen, Papua New Guinea)

(0.00037112463601468923 : Landvetter, Sweden)

(0.00037003904889177584 : Waskaganish Airport, Canada)

(0.0003696370356895313 : Fort Yukon, United States)

(0.00036950803832844274 : Lech Walesa, Poland)

(0.00036915563124983954 : Jacksonville Intl, United States)

(0.0003676546898715507 : Belfast Intl, United Kingdom)

(0.00036729794704358276 : Temindung, Indonesia)

(0.0003666673685690558 : Grantley Adams Intl, Barbados)

(0.0003666293935857083 : Talagi, Russia)

